idx,model,e,se,sweep,orca,sfm,linear,static,scenario,dx_lo,dx_hi,dy_lo,dy_hi,spawn_width_x,spawn_width_y,human_count,mix_label,success_rate,success_std,collision_rate,collision_std,timeout_rate,timeout_std,avg_nav_time,nav_time_std,avg_min_dist,min_dist_std,avg_accel,avg_accel_std,avg_min_dist_overall,min_dist_overall_std,avg_path_irregularity,avg_path_irregularity_std,density_x,geometry_x,algorithm
17,MPC-SGAN,2,3,directionality,7,8,0,0,random,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.844,0.3628553430776513,0.096,0.2945912422323515,0.06,0.23748684174075832,13.41824644549763,6.026733394506423,1.2385514653388057,0.30644250182964133,2.4926155405684054,0.12746732690893864,0.9204967084387885,0.17117836220386914,2.840633311433522,1.2690400320461734,0.15,10.0,MPC-SGAN
18,MPC-SGAN,2,4,directionality,7,8,0,0,circle_crossing,-5.0,5.0,-6,6,10.0,12,15,O7/SF8/L0/S0,0.938,0.24115555146004838,0.016,0.125475097130865,0.046,0.2094850830011531,9.616737739872068,2.9623332260748585,1.4690496941011635,0.0504661802483074,1.909648370244516,0.36489179189313037,0.9179389129724991,0.14922136296194044,1.5522119538940804,0.8500478487083611,0.15,10.0,MPC-SGAN
19,MPC-SGAN,3,0,policy_mixture,0,15,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O0/SF15/L0/S0,0.51,0.4998999899979995,0.072,0.2584879107424562,0.418,0.4932301693935601,9.919607843137255,2.8246824987530936,1.2499882725661018,0.41945941941066106,5.033220463428141,0.43359951336020514,1.0324886439919863,0.21331331101475426,1.991887144331352,1.0506105090710793,0.15,10.0,MPC-SGAN
20,MPC-SGAN,3,1,policy_mixture,15,0,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O15/SF0/L0/S0,0.918,0.2743647207641682,0.082,0.27436472076416824,0.0,0.0,12.969498910675382,4.2769899074348405,1.2830018773001448,1.599036246448735,1.5255364091858876,0.12594730444343466,0.8855182963081397,0.1546558467634885,2.8469635034047136,1.0765428786107045,0.15,10.0,MPC-SGAN
21,MPC-SGAN,3,2,policy_mixture,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.838,0.368450810828257,0.106,0.3078376195334157,0.056,0.22992172581119863,13.545346062052506,6.261960093451835,1.2277542236254764,0.3360048384426186,2.510219598292234,0.16804824537957475,0.9184063787584723,0.16544823439019143,2.884975568853267,1.3447106675548797,0.15,10.0,MPC-SGAN
22,MPC-SGAN,3,3,policy_mixture,5,5,2,3,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O5/SF5/L2/S3,0.776,0.4169220550654522,0.192,0.3938730760029175,0.032,0.176,12.889175257731958,5.555480375844935,1.0764068515311758,0.5720569060723976,2.3108797266025847,0.2495058749603785,0.8921162526532397,0.16715496680361444,2.7587927294912284,1.219623886589249,0.1,10.0,MPC-SGAN
0,MPC-CV,0,0,density,2,3,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,5,O2/SF3/L0/S0,1.0,0.0,0.0,0.0,0.0,0.0,10.5605,2.5071327747050005,2.0212563004959514,0.01952331699007792,0.9179752903005951,0.027786189677640072,1.3191197605303273,0.2328500769231814,2.0414927542802244,0.966627676568087,0.05,10.0,MPC-CV
1,MPC-CV,0,1,density,5,5,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,10,O5/SF5/L0/S0,0.998,0.04467661580737737,0.002,0.044676615807377355,0.0,0.0,12.11623246492986,3.165407816911252,1.6082913245400252,0.015135433224456209,1.1731460495140211,0.034683581520554244,1.0343247076377526,0.15263079705171045,2.6642274187523953,0.9549997096527189,0.1,10.0,MPC-CV
2,MPC-CV,0,2,density,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.946,0.22601769842204847,0.054,0.22601769842204836,0.0,0.0,13.611522198731501,4.381558437648697,1.3317086385415762,0.2536203250173767,1.3476227965122431,0.039275694283424305,0.8569582204159403,0.13598246657370577,3.0340648563387433,0.9493887847596268,0.15,10.0,MPC-CV
3,MPC-CV,0,3,density,10,10,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,20,O10/SF10/L0/S0,0.798,0.40149221661197865,0.202,0.4014922166119787,0.0,0.0,13.87907268170426,3.6863572761126155,1.0171625901465988,0.5900804863044523,1.4972380758523511,0.0823968332463478,0.7773874603002948,0.10802295236780676,3.1557179451732567,0.8623006308291646,0.2,10.0,MPC-CV
4,MPC-CV,0,4,density,12,13,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,25,O12/SF13/L0/S0,0.512,0.4998559792580259,0.488,0.4998559792580259,0.0,0.0,14.650390625,4.399023311760477,0.589572606694555,1.5900854987703628,1.6885480901982317,0.0653756060250861,0.7099863661380909,0.08418201319236168,3.2820734163914147,0.9019538577277314,0.25,10.0,MPC-CV
5,MPC-CV,0,5,density,15,15,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,30,O15/SF15/L0/S0,0.306,0.4608296865437382,0.694,0.46082968654373824,0.0,0.0,13.833333333333334,3.420789000453097,0.3449889236212113,4.108596858037947,1.8741619239222995,0.0740438237537805,0.6834605305664724,0.07285553758237356,3.1856824643457964,0.769867305163106,0.3,10.0,MPC-CV
6,MPC-CV,0,6,density,17,18,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,35,O17/SF18/L0/S0,0.152,0.35902089075707,0.848,0.35902089075707005,0.0,0.0,13.302631578947368,3.0047429036271147,0.13916224640228958,6.012313183805852,2.0997221830883945,0.14237049212671296,0.6617245970698047,0.0581599306111499,3.116073319258503,0.791795511098593,0.35,10.0,MPC-CV
